"Elapsed_Time","Cases","Deaths"
0.,0,0
1.,0,0
2.,0,0
3.,0,0
4.,0,0
5.,0,0
6.,0,0
7.,0,0
8.,0,0
9.,0,0
10.,0,0
11.,0,0
12.,0,0
13.,0,0
14.,0,0
15.,0,0
16.,0,0
17.,0,0
18.,0,0
19.,0,0
20.,0,0
21.,0,0
22.,0,0
23.,0,0
24.,0,0
25.,0,0
26.,0,0
27.,0,0
28.,0,0
29.,0,0
30.,0,0
31.,0,0
32.,0,0
33.,0,0
34.,0,0
35.,0,0
36.,0,0
37.,0,0
38.,0,0
39.,0.0506425860495,0
40.,0.0506425860495,0
41.,0.455783274445,0
42.,0.607711032594,0
43.,0.405140688396,0
44.,2.27891637223,0
45.,1.51927758148,0
46.,1.82313309778,0
47.,1.56992016753,0
48.,2.38020154433,0
49.,5.46939929334,0
50.,4.7097605026,0
51.,5.26682894915,0.101285172099
52.,10.4830153122,0.0506425860495
53.,11.9010077216,0.354498102346
54.,37.4248710906,0.151927758148
55.,39.957000393,0.151927758148
56.,145.344221962,0.911566548891
57.,149.142415916,0.405140688396
58.,172.184792568,0.911566548891
59.,206.77367884,2.88662740482
60.,257.821405578,2.07634602803
61.,242.932485279,2.63341447457
62.,261.315744015,3.79819395371
63.,356.321235444,5.06425860495
64.,354.44745976,7.19124721903
65.,381.541243297,10.1791597959
66.,366.551037826,12.0022928937
67.,355.257741137,12.8125742705
68.,464.392514074,16.8133385684
69.,410.964585792,19.8012511453
70.,433.399251411,21.8775971734
71.,530.784944385,28.4611333598
72.,549.269488293,31.9048292112
73.,472.343400083,30.0816961134
74.,438.311582258,27.2963538807
75.,408.179243559,40.0582855651
76.,566.487967549,39.4505745325
77.,542.787237278,40.4634262535
78.,535.241491957,40.5140688396
79.,439.476361737,38.4883653976
80.,405.495186498,38.3870802255
81.,340.115607908,34.0824604113
82.,368.222243166,39.7037874628
83.,579.04732889,39.2480041883
84.,467.785567339,162.815914149
85.,349.737699258,116.427305328
86.,562.89234394,27.3469964667
87.,309.07170266,31.752901453
88.,265.62036383,15.8511294335
89.,268.456348648,24.9667949224
90.,249.71859181,15.6485590893
91.,8.50795445631,79.0024342372
92.,411.724224582,22.1814526897
93.,534.43121058,30.2842664576
94.,298.892542864,13.1670723729
95.,200.088857481,20.2063918337
96.,157.498442614,12.3567909961
97.,232.196257037,28.613061118
98.,237.057945298,5.57068446544
99.,199.633074207,22.8904488944
100.,236.146378749,8.05217118187
101.,174.109210838,25.8277188852
102.,128.530883394,14.7369925404
103.,113.388750165,6.33032325618
104.,141.090244734,25.2706504387
105.,176.793267899,26.3847873318
106.,148.787917813,5.0136160189
107.,137.494621124,18.6871142523
108.,115.11059809,1.46863499543
109.,84.0666928421,17.5729773592
110.,72.4188980508,14.9902054706
111.,110.198267244,9.77401910755
112.,121.035780658,8.30538411211
113.,139.874822669,12.0022928937
114.,122.504415654,8.65988221446
115.,95.6638450475,9.26759324705
116.,63.3032325618,5.41875670729
117.,74.6471718369,11.0907263448
118.,77.2299437255,3.95012171186
119.,105.741719671,5.41875670729
120.,85.8898259399,5.57068446544
121.,89.7386624797,9.01438031681
122.,80.4710692326,5.57068446544
123.,63.2525899758,4.45654757235
124.,54.288852245,3.69690878161
125.,57.1754796499,9.216950661
126.,89.5360921355,2.27891637223
127.,78.5466509627,5.92518256779
128.,69.6841984041,3.24112550717
129.,56.2132705149,3.74755136766
130.,47.6546734726,6.73546394458
131.,67.3039968598,2.58277188852
132.,52.9215024217,2.58277188852
133.,53.0734301799,7.84960083767
134.,54.4407800032,3.13984033507
135.,56.1119853428,2.22827378618
136.,39.5518597046,4.76040308865
137.,35.5510954067,2.17763120013
138.,34.5888862718,2.07634602803
139.,34.1331029973,4.25397722816
140.,37.2729433324,1.92441826988
141.,41.6282057327,9.01438031681
142.,46.3886088213,1.87377568383
143.,35.1459547183,1.51927758148
144.,31.3984033507,1.56992016753
145.,31.9554717972,2.68405706062
146.,28.7143462901,1.51927758148
147.,31.2971181786,1.77249051173
148.,40.3114984954,2.07634602803
149.,36.2600916114,3.44369585136
150.,33.6266771369,2.12698861408
151.,27.9547074993,2.58277188852
152.,30.2336238715,2.83598481877
153.,29.4233424947,1.26606465124
154.,37.9312969511,2.22827378618
155.,40.7672817698,2.07634602803
156.,35.6017379928,1.31670723729
157.,31.1958330065,1.46863499543
158.,38.7415783278,0.303855516297
159.,7.59638790742,31.8541866251
160.,31.6516162809,0.557068446544
161.,44.3122627933,1.06349430704
162.,46.4898939934,3.69690878161
163.,36.7665174719,1.01285172099
164.,26.9924983644,2.48148671642
165.,26.2328595736,0.658353618643
166.,29.7778405971,1.21542206519
167.,35.0446695462,0.405140688396
168.,29.5752702529,1.62056275358
169.,39.8050726349,2.43084413037
170.,36.9690878161,0.607711032594
171.,34.2850307555,0.354498102346
172.,28.2079204296,2.27891637223
173.,46.1860384771,0.658353618643
174.,42.0839890071,0.96220913494
175.,38.944148672,0.96220913494
176.,39.2986467744,0.860923962841
177.,38.1845098813,0.759638790742
178.,25.4225781968,0.860923962841
179.,26.2835021597,0.557068446544
180.,43.2994110723,0.708996204693
181.,35.7030231649,1.92441826988
182.,41.0711372861,1.82313309778
183.,38.1338672953,0.101285172099
184.,37.9819395371,0.607711032594
185.,27.1444261225,1.11413689309
186.,30.7906923181,0.759638790742
187.,27.0431409504,0.405140688396
188.,36.2094490254,0.253212930247
189.,39.3492893604,1.26606465124
190.,32.6138254159,0.303855516297
191.,38.1338672953,0.253212930247
192.,26.8912131923,0.810281376792
193.,27.600209397,0.455783274445
194.,37.7793691929,0.303855516297
195.,32.2086847275,1.46863499543
196.,35.6017379928,0.101285172099
197.,36.1588064393,0.202570344198
198.,35.6017379928,0.405140688396
199.,26.0809318155,0.303855516297
200.,24.1058709596,0.354498102346
201.,33.778604895,0.303855516297
202.,35.4498102346,0.506425860495
203.,37.3235859185,0.405140688396
204.,36.817160058,1.11413689309
205.,37.1716581603,0.303855516297
206.,30.740049732,0.354498102346
207.,20.6621751082,0.303855516297
208.,33.1708938624,0.557068446544
209.,31.9554717972,0.405140688396
210.,30.4361942157,-0.202570344198
211.,35.9055935091,0.151927758148
212.,33.0696086903,0.354498102346
213.,28.9675592203,0.607711032594
214.,20.6621751082,0.202570344198
215.,31.8541866251,1.56992016753
216.,28.663703704,0.151927758148
217.,40.0582855651,0.253212930247
218.,32.2086847275,0.405140688396
219.,32.1580421414,0.202570344198
220.,35.3485250625,0.658353618643
221.,33.2215364485,0.303855516297
222.,38.1845098813,0.455783274445
223.,35.854950923,0.303855516297
224.,45.021258998,0.202570344198
225.,43.7551943467,0.303855516297
226.,40.5647114256,0.253212930247
227.,36.9184452301,0
228.,26.3341447457,0.759638790742
229.,28.2079204296,0.708996204693
230.,29.1701295645,0.151927758148
231.,38.3364376395,0
