"Elapsed_Time","Cases","Deaths"
0.,0,0
1.,0,0
2.,0,0
3.,0,0
4.,0,0
5.,0,0
6.,0,0
7.,0,0
8.,0,0
9.,0,0
10.,0,0
11.,0,0
12.,0,0
13.,0,0
14.,0,0
15.,0,0
16.,0,0
17.,0,0
18.,0,0
19.,0,0
20.,0,0
21.,0,0
22.,0,0
23.,0,0
24.,0,0
25.,0,0
26.,0,0
27.,0,0
28.,0,0
29.,0,0
30.,0,0
31.,0,0
32.,0,0
33.,0,0
34.,0,0
35.,0,0
36.,0,0
37.,0,0
38.,0,0
39.,0,0
40.,0,0
41.,0,0
42.,0.223601870609,0
43.,0,0
44.,0.223601870609,0
45.,0.111800935304,0
46.,0,0
47.,1.11800935304,0.111800935304
48.,0.894407482434,0
49.,0.670805611826,0
50.,0,0
51.,4.47203741217,0
52.,3.24222712382,0.111800935304
53.,8.94407482434,0
54.,9.95028324208,0.111800935304
55.,0,0
56.,53.1054442695,0.670805611826
57.,16.546538425,0.223601870609
58.,48.857008728,0.559004676521
59.,65.6271490236,0.447203741217
60.,103.974869833,0.78260654713
61.,92.9065772378,1.90061590017
62.,81.2792799662,2.01241683548
63.,276.595513943,2.12421777078
64.,217.900022908,3.01862525322
65.,257.030350265,3.57762992974
66.,252.893715658,2.34781964139
67.,363.353039739,4.13663460626
68.,230.309926727,7.71426453599
69.,397.899528748,9.83848230678
70.,372.85611924,20.3477702254
71.,481.303026485,12.1863019482
72.,472.806155402,22.3601870609
73.,377.998962264,7.9378664066
74.,400.806353066,9.61488043617
75.,371.849910822,25.6024141847
76.,337.750625554,30.4098544028
77.,401.365357742,22.9191917374
78.,398.123130618,24.9316085729
79.,398.346732489,28.0620347614
80.,413.55165969,18.6707561958
81.,305.663757122,10.3974869833
82.,474.03596569,40.4719385801
83.,246.632863281,39.2421282918
84.,479.290609649,40.4719385801
85.,352.172946208,35.999901168
86.,330.148161953,25.71421512
87.,433.899429916,32.6458731088
88.,382.470999676,14.9813253308
89.,409.75042789,28.7328403732
90.,394.321898818,44.3849713158
91.,459.613645036,30.857058144
92.,242.719830546,28.7328403732
93.,369.166688375,25.8260160553
94.,395.775310977,2.6832224473
95.,240.372010904,11.8508991423
96.,298.284895392,44.4967722511
97.,280.508546678,36.7825077151
98.,255.688739041,51.093027434
99.,283.750773802,34.6582899443
100.,282.520963514,22.8073908021
101.,338.421431166,14.4223206543
102.,170.496426339,4.36023647687
103.,259.825373647,37.3415123916
104.,145.00581309,34.0992852678
105.,234.893765074,28.8446413085
106.,206.719929378,17.1055431016
107.,174.074056269,17.4409459075
108.,151.713869208,15.6521309426
109.,162.334958062,9.39127856556
110.,79.4904650013,21.3539786431
111.,71.8880014006,20.4595711607
112.,127.900269988,25.9378169906
113.,143.105197189,22.5837889315
114.,123.540033511,12.6335056894
115.,158.198323456,11.403695401
116.,194.086423688,8.49687108312
117.,124.7698438,16.546538425
118.,158.757328132,18.1117515193
119.,90.5587575965,10.8446907245
120.,111.018328757,15.5403300073
121.,62.7203247057,10.8446907245
122.,113.366148399,6.26085237704
123.,104.869277315,1.00620841774
124.,75.1302285245,5.2546439593
125.,96.5960081029,16.2111356191
126.,62.2731209645,7.8260654713
127.,185.47775167,13.6397141071
128.,85.4159145725,11.5154963363
129.,93.5773828497,7.15525985947
130.,52.8818423989,2.79502338261
131.,70.0991864358,5.3664448946
132.,58.4718891641,12.1863019482
133.,51.6520321106,10.0620841774
134.,90.1115538552,8.83227388904
135.,62.2731209645,6.37265331234
136.,30.2980534675,7.8260654713
137.,37.2297114563,4.24843554156
138.,33.428479656,9.95028324208
139.,61.4905144173,8.27326921252
140.,52.546439593,7.37886173008
141.,38.9067254859,5.142843024
142.,49.3042124692,14.7577234602
143.,30.857058144,4.24843554156
144.,24.8198076375,5.47824582991
145.,36.1117021033,9.39127856556
146.,30.9688590793,4.80744021808
147.,45.1675778629,3.80123180034
148.,43.4905638334,3.68943086504
149.,37.7887161328,2.45962057669
150.,34.4346880737,1.67701402956
151.,30.5216553381,3.91303273565
152.,35.6644983621,5.70184770052
153.,17.6645477781,5.70184770052
154.,33.9874843325,200.794479806
155.,43.3787628981,4.69563928278
156.,32.3104703029,3.80123180034
157.,34.546489009,3.01862525322
158.,10.0620841774,1.90061590017
159.,44.1613694452,4.80744021808
160.,29.1800441144,4.80744021808
161.,47.8508003102,3.24222712382
162.,43.1551610274,6.37265331234
163.,32.5340721735,2.79502338261
164.,41.2545451273,2.45962057669
165.,23.3663954786,2.01241683548
166.,29.8508497262,5.81364863582
167.,17.999950584,5.70184770052
168.,25.8260160553,12.9689084953
169.,40.0247348389,3.46582899443
170.,37.0061095857,5.142843024
171.,37.9005170681,0
172.,25.0434095082,3.91303273565
173.,43.9377675746,2.45962057669
174.,40.5837395154,5.81364863582
175.,24.9316085729,3.46582899443
176.,5.59004676521,2.12421777078
177.,29.403645985,1.67701402956
178.,-3.46582899443,0.78260654713
179.,20.1241683548,1.00620841774
180.,32.7576740441,2.45962057669
181.,43.4905638334,-3.35402805913
182.,27.0558263436,2.571421512
183.,51.2048283694,3.91303273565
184.,57.3538798111,1.22981028835
185.,56.4594723287,1.22981028835
186.,50.1986199516,1.90061590017
187.,53.999851752,2.34781964139
188.,34.0992852678,-3.01862525322
189.,41.3663460626,1.22981028835
190.,77.1426453599,1.11800935304
191.,41.2545451273,1.22981028835
192.,35.8881002327,0.670805611826
193.,29.5154469203,1.11800935304
194.,39.8011329683,1.22981028835
195.,39.9129339036,-1.67701402956
196.,41.8135498038,0.78260654713
197.,40.2483367095,0
198.,41.142744192,2.23601870609
199.,38.4595217447,0.559004676521
200.,28.8446413085,0.447203741217
201.,49.6396152751,1.34161122365
202.,51.7638330459,-0.559004676521
203.,73.3414135596,0.894407482434
204.,63.7265331234,1.11800935304
205.,31.0806600146,0.78260654713
206.,1.45341215896,0.223601870609
207.,34.8818918149,0.447203741217
208.,37.0061095857,1.00620841774
209.,36.7825077151,0.111800935304
210.,11.1800935304,0.670805611826
211.,32.4222712382,1.00620841774
212.,59.142694776,0.223601870609
213.,16.546538425,0.335402805913
214.,25.1552104435,0
215.,33.7638824619,0.78260654713
216.,31.8632665617,-4.36023647687
217.,34.3228871384,0.78260654713
218.,40.0247348389,1.00620841774
219.,39.0185264212,0.335402805913
220.,32.5340721735,0.447203741217
221.,39.0185264212,0.894407482434
222.,36.8943086504,0.559004676521
223.,34.0992852678,1.56521309426
224.,42.260753545,0.78260654713
225.,50.1986199516,0.78260654713
226.,36.3353039739,0.78260654713
227.,34.7700908796,0.447203741217
228.,37.117910521,0.223601870609
229.,30.9688590793,0.559004676521
230.,36.5589058445,1.34161122365
231.,46.9563928278,0.670805611826
232.,52.9936433342,1.00620841774
233.,50.1986199516,0.447203741217
234.,33.2048777854,0.447203741217
